Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x4193936505e90a9dd8d8df3fe46f5aba3bedd7eb9f68a19a993900ad4f4f9b44","Error in Main Txn : execution reverted","Swap ETH","23414533","2025-09-21 22:54:59","0x94c50a8f953f9730717fb5c5ea24281d4feede1b","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.000859789 ETH","$3.70","0.00004349"
"0x74de0304be29dc4988b1bf8715538ce0d422cb63f2712ee8b219915ffa459695","Error in Main Txn : execution reverted","Swap ETH","23414419","2025-09-21 22:32:11","0xd3554508e58f736a81594b25fc1b52481ee555c5","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.002188671 ETH","$9.43","0.00004428"
"0xcb6d3429d2aaa80d2d785986a21cc9d8170f8a65ad401ce6190dc07a8e7373b7","Success","Swap ETH","23411732","2025-09-21 13:30:35","0xbc3f9e4833dfd7cd7e196c171f72dd23874624d3","yzyday.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.100222822 ETH","$431.82","0.00011397"
"0x36ea7db5c30edbb1c16f694d1f8b277eb3bd7a2031e17c7d08fd241bc6d685aa","Success","Swap ETH","23411353","2025-09-21 12:14:11","0xcf9b8c876ac4b8750a799c772bcd204afe5a19fc","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.000203127 ETH","$4,309.50","0.00043306"
"0xa0e79453a17e5b1e3ca2f9d0c8bb09dc6b4bb59755e10abcb44282c019e272d7","Success","Swap ETH","23409729","2025-09-21 06:47:35","0xd5c4cc2af3fb5c5df49e67eadce52c3e670c5d11","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.110222558 ETH","$474.91","0.00023972"
"0x1081fd899b63b242dbe77a2311342f9ce9bdbee79f00729ea5ae39889e0ab7fe","Success","Swap ETH","23399998","2025-09-19 22:06:47","0xb9cc4f5e8fac3d2a004b6d7d7a1d5e77e6bb0ac6","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.023222337 ETH","$100.06","0.00010839"
"0x73ee9bf2c5078047daecc9299b414e2f81d6686f009f220d758950ed040a73cb","Success","Swap ETH","23399796","2025-09-19 21:26:23","0x57e837b0a98290da2a341341f5c5ff32ef548c25","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.100203189 ETH","$4,740.36","0.00049055"
"0x069815eebc13e616f9d8f7fc82545fa1b26c09d9ea0ac70f79c4b057de199be4","Success","Swap ETH","23397825","2025-09-19 14:49:23","0xf168d364f273f879a73adee0e781cb7bedb170c1","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.150222354 ETH","$647.25","0.00112567"
"0x04f6ca12b78145e4381404144b2adc91b9ad7044a746a1879bddf5a8235396ca","Success","Swap ETH","23395762","2025-09-19 07:54:23","0x2c97bb6058e7a7f61768464aae86470d9ba57421","powerslave.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.010222354 ETH","$44.04","0.00013564"
"0x8dbacf1a076ff66e7bd6c3461eabc346d1498dfee6f28e4b8e1f47e456e66bdf","Success","Swap ETH","23395455","2025-09-19 06:52:35","0x20eebeb9f65027f0150d3cddd29a6f33fbecd319","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.098203159 ETH","$423.12","0.00046612"
"0xb556b30378f6e3851e9b9af2e291686c97601a5f1b867bcad7f5ec94d7abf848","Success","Swap ETH","23395205","2025-09-19 06:02:23","0xf37aa30d2e084e06ef1f805a69980d8ece533a98","blitzkrieg83.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.111222354 ETH","$479.22","0.00015866"
"0x31a9b7e644d11d61a06722ae9a5100a11eff08a7275941a55a4a67d4ce6065e2","Success","Swap ETH","23395077","2025-09-19 05:36:47","0xfff9e8387f6ea2073d1c38b9571fe4aa55fd3ad8","olehkuzmenko.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.016222354 ETH","$69.90","0.0000634"
"0x1de421e51ecafb76325df3fc9b33b8d7290a96eefce9ba6f77b2662593e9c397","Success","Swap ETH","23392227","2025-09-18 20:03:35","0x04fdf9d936c71d42eb1577293906d8ddd1441c15","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.000222354 ETH","$4,309.58","0.00062817"
"0x7b8465c8551314bfe5d6fc6944a023e6887a827cd3f49c5ad70c5304ca691904","Success","Swap ETH","23391082","2025-09-18 16:12:59","0x7ea0436e9acfcc86110a637ee30cc3590ed6cb0d","kanapon.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.20020387 ETH","$5,171.23","0.00144216"
"0xad3b9ff752670823881744c09fe1d6b707560f9893f892476c996ebe3b4709a6","Success","Swap ETH","23386144","2025-09-17 23:40:35","0xe210475c44be21740050426501585eef20319cb5","airdeni.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.500222723 ETH","$2,155.27","0.0004728"
"0x3d085a77b27f0d711cf4ca2e02e644608e19c58aa5b934fa99641941ee38bdc1","Success","Swap ETH","23383304","2025-09-17 14:09:35","0x0c470f23b09847fc99e20b63aa9b0c3db13bacf7","jjunior.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.524946462 ETH","$2,261.80","0.00068426"
"0x544a580130393fb2b574603d04a05e3b5d1fb05b9b8131ce83efb596fd55c00f","Success","Swap ETH","23382548","2025-09-17 11:37:23","0x2567ef517cea81700dec3c0f1372ea5adffad037","kasou-air.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.350199231 ETH","$1,508.88","0.00010736"
"0xeba684dbae33bf613ac6938c1962dc7b8b7f3b94fca14dde0f7cc3decfea6e04","Success","Swap ETH","23377304","2025-09-16 18:04:47","0xd86ac74165f26cb77383e0947c182bd2885f527b","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","2.000223338 ETH","$8,618.21","0.0007857"
"0x61141e256177028dac235072b132abc4dd3b5b36e6eeff83d1066f441d3b5999","Success","Swap ETH","23369426","2025-09-15 15:39:11","0xdd8ce700c057d16e0cea1e4bd46ad1cafcfc31bb","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.002229882 ETH","$4,318.23","0.00176935"
"0x6719e7cdced4222adcdeff3735a0f43edf25d180bee6bff0c3d5ca1907da6c32","Success","Swap ETH","23369374","2025-09-15 15:28:35","0x044e427f262c3a3329afe4ed86b8f5b3f0a9484f","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.003229882 ETH","$13.92","0.00122733"
"0x299db90806ba8284719e5fa8b40d90b4434fd9b18b11deb3b12bb7d4ce0ad86a","Success","Swap ETH","23369254","2025-09-15 15:04:35","0xf7875cf819b8b9da83b4c872334bd6f7692fa337","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.720249629 ETH","$3,103.28","0.00310372"
"0x64c6efd3506616e33206f86d28e8c4fe42d05e9c344a8eea426bec2ccd4eb3d4","Success","Swap ETH","23367127","2025-09-15 07:56:47","0x647bfb616937ab7bf9c46f517d1b0da444e8f7a9","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.000299231 ETH","$1.29","0.00039687"
"0x49968e4d1af078d3b8e040a241d5676b6ee571cff8850abb7f88650729a861f1","Success","Swap ETH","23365545","2025-09-15 02:37:35","0x647c789315ce3955b3d12d1f590d53ff00849604","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","11.788203137 ETH","$50,790.92","0.00056892"
"0x84548c72ff0ecde93003167fa943e0e232fd6f28f4e777effbb234e7cb60a79c","Success","Swap ETH","23365521","2025-09-15 02:32:35","0x647c789315ce3955b3d12d1f590d53ff00849604","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.000203137 ETH","$4,309.50","0.00043504"
